CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
F29625,6177,E,2.0,54:25.0,24/09/2019,24/09/2019 00:00,24/09/2019,,4135.7,0.0,0.0
F29626,6726,E,6.0,10:30.0,24/09/2019,23/09/2019 00:00,24/09/2019,,4700.0,0.0,0.0
F29627,6848,E,2.0,19:53.0,24/09/2019,24/09/2019 00:00,24/09/2019,,1900.0,0.0,0.0
F29628,4427,C,1.0,05:34.0,24/09/2019,24/09/2019 00:00,24/09/2019,24/09/2019,287.1,0.0,0.0
F29629,4427,E,2.0,28:53.0,24/09/2019,24/09/2019 00:00,24/09/2019,,287.1,0.0,0.0
F29630,357,E,2.0,46:36.0,24/09/2019,24/09/2019 00:00,24/09/2019,,3885.48,0.0,0.0
F29632,5989,E,2.0,23:23.0,24/09/2019,24/09/2019 00:00,24/09/2019,,483.24,0.0,0.0
F29633,728,E,1.0,16:11.0,24/09/2019,24/09/2019 00:00,23/11/2019,,155913.0,23386.95,0.0
F29634,6850,E,2.0,31:07.0,24/09/2019,24/09/2019 00:00,24/09/2019,,364.0,0.0,0.0
F29635,5926,E,2.0,40:03.0,24/09/2019,23/09/2019 00:00,24/09/2019,,120.0,0.0,0.0
F29636,5926,E,2.0,41:24.0,24/09/2019,23/09/2019 00:00,24/09/2019,,36.21,0.0,0.0
F29637,5926,E,2.0,42:51.0,24/09/2019,23/09/2019 00:00,24/09/2019,,456.0,0.0,0.0
F29638,5926,E,2.0,53:36.0,24/09/2019,24/09/2019 00:00,24/09/2019,,682.5,0.0,0.0
F29640,6851,E,2.0,10:44.0,25/09/2019,25/09/2019 00:00,25/09/2019,,172.5,0.0,0.0
F29641,2357,E,2.0,52:47.0,25/09/2019,13/09/2019 00:00,25/09/2019,,3743.0,0.0,0.0
F29643,6852,E,2.0,59:43.0,25/09/2019,25/09/2019 00:00,25/09/2019,,333.96,0.0,0.0
F29644,6852,C,2.0,29:02.0,25/09/2019,25/09/2019 00:00,25/09/2019,25/09/2019,1269.88,0.0,0.0
F29645,6853,E,2.0,40:15.0,25/09/2019,25/09/2019 00:00,25/09/2019,,1269.88,0.0,0.0
F29646,5615,E,3.0,09:24.0,25/09/2019,25/09/2019 00:00,25/09/2019,,789.0,0.0,0.0
F29647,2390,E,1.0,35:10.0,25/09/2019,20/09/2019 00:00,25/10/2019,,4005.75,0.0,0.0
F29648,47,E,2.0,41:35.0,25/09/2019,25/09/2019 00:00,25/09/2019,,267.24,0.0,0.0
F29649,5915,E,2.0,19:28.0,25/09/2019,25/09/2019 00:00,10/10/2019,,1999.79,0.0,0.0
F29650,5039,E,1.0,30:20.0,26/09/2019,26/09/2019 00:00,26/10/2019,,1530.0,0.0,0.0
F29651,5039,E,1.0,51:05.0,26/09/2019,26/09/2019 00:00,26/10/2019,,2750.0,0.0,0.0
